is_muted,time_unmuted,is_speaking,speaking_duration,camera_on,hand_raised,hand_raise_count,message_length,hesitation_count,has_question,confidence_level,missing_assignments,grade_average,grade_trend,days_since_submission,late_submissions,struggle_label,_latent_p
1,110,0,0,0,0,0,0,0,0,13,1,50,90,3,3,1,0.9731843617483972
1,177,1,116,1,0,5,18,1,0,67,0,80,100,0,0,0,0.004138623540426301
0,368,0,0,0,1,1,0,0,0,41,2,52,90,6,3,0,0.1702706948636572
1,0,0,0,0,0,0,0,0,0,0,0,80,100,0,0,0,0.519747108410267
1,0,0,14,0,0,0,0,0,0,14,4,72,102,0,2,1,0.43417820147491903
1,28,0,17,1,0,0,0,0,0,46,1,80,114,3,0,0,0.09344229260910088
1,280,1,123,0,1,1,22,2,0,37,1,80,95,2,0,0,0.0889166594704137
1,106,1,60,0,0,2,25,1,0,43,2,80,110,23,0,0,0.013105272256012513
0,406,0,180,1,1,3,0,0,0,100,5,80,85,3,7,0,0.5896376132912423
0,320,0,327,0,0,0,31,0,0,57,6,43,74,3,1,0,0.5166556702488813
0,40,0,62,0,0,0,0,0,0,13,2,70,99,5,1,0,0.2631005241534947
0,178,0,248,1,0,1,27,4,0,62,4,77,101,2,4,0,0.030314479969666436
0,27,0,0,1,0,3,0,0,0,70,4,80,123,1,6,0,0.002951894344911602
1,64,0,0,0,0,0,11,3,0,0,0,80,100,0,0,1,0.5132600486066473
0,67,0,113,0,0,1,21,0,0,39,9,51,84,6,0,1,0.8836673816996983
0,130,0,7,1,0,0,25,1,1,49,6,67,98,3,2,0,0.07904861977909117
1,103,0,0,0,0,0,0,0,0,16,6,76,115,0,1,0,0.10566170345795509
1,95,0,55,1,0,0,0,0,0,40,1,75,112,0,0,0,0.010314595322694721
1,0,0,38,0,0,0,20,0,0,21,0,80,100,0,0,0,0.03988763777911402
0,94,0,16,1,1,1,21,0,1,60,0,80,100,0,0,0,0.006264799104263443
0,2,0,6,1,1,0,7,0,0,26,10,80,88,0,2,1,0.9646112571862423
0,191,0,20,1,0,0,21,2,1,55,0,46,83,0,0,1,0.32134303750926535
1,41,1,26,0,0,0,0,0,0,12,5,66,103,8,1,0,0.49097833479476477
0,188,0,9,1,0,0,18,2,0,42,1,88,122,0,0,0,0.0014871797647397606
1,99,0,65,0,1,1,0,0,0,67,4,56,96,9,1,1,0.3210453685601195
0,508,0,186,1,1,0,25,0,0,78,1,71,109,1,1,0,0.07704597513468331
1,160,0,0,0,0,0,0,0,0,50,2,80,102,0,0,0,0.024563204993396568
0,225,0,153,0,1,2,0,0,0,73,3,50,70,6,2,0,0.4891776213633035
0,336,0,98,1,0,1,19,1,0,76,0,80,100,0,0,0,0.0005352678511611169
1,59,0,0,0,0,0,0,0,0,6,3,80,94,0,3,0,0.13961481111179475
0,24,0,14,1,1,1,21,1,1,46,0,65,103,4,1,0,0.011138096909942836
1,44,0,31,1,0,1,3,6,0,28,3,80,91,0,6,1,0.9419284215012825
0,116,0,0,0,0,0,0,0,0,34,2,61,95,0,1,0,0.2891147873065484
1,145,0,0,1,0,0,0,0,0,71,2,70,107,6,2,0,0.008277557687512295
