is_muted,time_unmuted,is_speaking,speaking_duration,camera_on,hand_raised,hand_raise_count,message_length,hesitation_count,has_question,confidence_level,missing_assignments,grade_trend,struggle_label
1,606,0,239,0,0,0,20,5,0,38,1,96,0
0,301,0,48,0,0,3,35,2,1,61,1,107,0
1,487,0,281,0,1,1,9,1,0,77,2,116,0
0,570,1,276,1,0,1,22,3,0,78,1,103,0
0,374,0,235,1,1,3,2,1,0,63,2,94,1
0,1305,0,256,0,0,3,40,1,0,47,2,99,1
1,142,0,5,0,0,2,20,4,0,7,3,80,1
0,772,1,294,0,0,2,48,2,0,65,2,89,0
0,465,1,314,0,0,4,33,3,0,86,4,80,1
1,0,0,0,0,0,0,16,2,0,10,3,104,0
1,693,1,135,0,0,1,0,4,0,59,4,84,1
0,782,0,132,1,0,1,5,0,0,44,2,99,0
1,37,0,13,0,0,1,0,4,0,28,1,113,0
1,991,0,169,0,0,2,32,0,0,54,3,104,0
1,61,0,0,1,0,0,13,6,0,0,2,107,0
1,579,0,313,0,0,0,36,1,0,43,4,90,1
1,411,0,59,0,0,1,6,3,0,45,3,98,0
0,256,1,76,1,0,2,34,0,0,78,3,70,1
0,441,0,114,1,0,1,6,2,1,40,1,82,0
1,193,0,94,1,0,0,14,3,0,26,0,126,0
0,215,1,91,1,0,2,22,0,0,73,4,70,1
1,305,0,77,0,0,3,45,1,0,54,3,100,0
0,262,1,43,1,0,0,35,2,0,45,4,89,0
1,996,1,235,0,0,1,27,0,1,53,1,115,0
0,456,1,146,1,0,2,27,5,0,75,0,102,0
0,143,1,189,1,0,2,22,0,0,71,4,71,1
1,1040,0,191,0,0,2,47,1,0,60,4,72,1
1,0,0,65,0,0,2,56,3,0,0,4,88,1
0,641,1,29,1,0,1,32,2,0,81,2,104,0
1,547,0,87,1,1,1,25,1,0,54,2,85,0
1,132,0,182,1,0,1,29,0,0,45,3,109,1
0,955,1,354,1,1,3,71,0,1,77,3,84,0
1,961,1,201,0,0,1,50,3,0,41,4,78,1
1,269,0,244,1,0,1,24,5,0,30,4,102,0
1,562,0,112,0,0,1,21,5,0,15,1,95,0
1,586,1,216,0,0,2,63,1,0,74,4,70,1
0,724,1,233,1,0,2,32,4,0,68,4,83,0
0,807,1,42,0,0,1,36,0,0,61,3,104,0
0,1018,1,186,1,0,1,31,1,1,76,3,89,0
0,400,0,298,1,1,2,61,4,0,72,3,84,0
0,1211,0,121,0,0,3,15,1,0,74,1,110,0
0,1332,1,362,1,1,3,36,0,0,79,2,89,1
0,2,0,277,0,0,1,16,1,0,57,3,113,0
0,977,0,183,0,0,1,41,1,0,34,4,72,1
1,1136,0,66,0,1,2,10,0,0,54,0,106,1
0,1017,0,123,1,0,4,23,2,0,60,1,99,0
0,476,0,131,1,0,2,21,3,0,36,3,99,0
0,228,0,47,0,0,2,20,4,1,64,2,97,0
0,292,0,195,0,0,1,9,1,1,65,2,106,0
0,925,0,142,1,1,1,34,1,0,55,4,97,0
1,658,0,0,1,1,1,22,2,0,63,2,92,0
1,360,0,115,1,0,1,0,2,0,33,4,76,1
1,308,0,112,0,0,0,0,1,0,39,2,96,0
0,1072,0,339,1,0,2,12,2,0,72,4,98,0
0,973,0,185,1,1,5,43,2,1,65,2,101,1
1,0,0,76,1,0,2,8,2,0,31,0,112,0
1,420,1,163,1,0,3,35,2,0,44,4,74,1
1,0,0,0,0,0,0,0,3,0,22,2,74,1
1,1047,0,193,0,0,3,39,0,1,64,1,90,0
0,1800,0,328,1,0,2,43,3,0,91,4,84,1
0,429,0,0,1,1,0,21,2,0,54,4,85,0
1,0,0,59,0,1,1,11,4,0,17,1,117,0
0,0,0,0,0,1,4,5,2,0,40,3,100,1
0,863,0,176,0,0,2,35,3,0,56,1,130,1
0,1054,0,151,0,0,2,5,2,0,45,3,77,1
0,885,1,228,0,1,3,19,0,0,88,3,93,0
1,163,0,246,0,0,2,7,4,0,46,2,77,1
0,258,1,138,1,0,2,15,0,0,73,3,82,1
1,673,0,0,1,1,2,34,3,0,40,2,91,0
0,700,1,157,1,0,1,27,5,0,25,2,88,0
1,552,0,0,0,0,1,0,5,0,32,2,114,0
1,1172,0,288,1,0,3,14,1,0,38,2,91,0
0,381,1,55,0,0,1,17,2,0,71,0,87,0
1,217,0,92,1,0,0,0,5,0,15,4,74,1
1,626,0,84,1,0,1,7,4,0,10,2,111,0
1,83,0,76,1,0,0,54,3,0,14,3,78,1
1,0,1,89,1,0,0,11,5,0,13,3,71,0
1,878,1,109,0,0,1,26,1,0,48,3,71,1
0,1149,0,407,0,1,0,55,2,1,67,3,87,1
0,1169,0,256,1,1,1,28,1,1,69,3,94,0
0,0,0,319,1,0,3,33,5,1,64,1,107,0
0,1127,0,139,0,0,2,16,0,1,82,2,82,0
0,1135,1,270,1,0,4,27,1,1,81,3,76,0
1,971,0,332,1,1,3,45,0,1,66,3,103,0
1,933,0,351,1,0,3,13,2,0,72,0,112,0
1,0,0,0,0,0,2,7,3,0,8,1,113,0
1,627,0,73,0,0,1,23,4,0,59,3,84,0
1,226,0,263,1,0,3,19,0,0,63,4,83,0
0,1671,0,184,1,1,4,12,1,1,94,3,91,0
0,1233,0,86,1,0,2,36,1,0,75,4,90,0
1,118,0,120,1,0,0,0,5,0,22,0,126,0
0,1132,0,143,0,0,5,43,0,1,84,2,106,0
0,764,0,204,0,1,4,25,2,0,32,4,80,1
0,0,1,98,0,0,0,9,0,0,59,1,97,0
0,1277,0,138,1,1,3,21,3,1,46,3,96,0
0,921,0,80,1,0,5,34,0,0,73,4,107,0
0,1181,0,165,1,0,2,10,2,0,76,2,86,0
1,0,0,153,0,0,4,39,0,1,33,4,90,1
0,834,1,269,1,1,1,29,3,1,54,1,100,0
0,663,0,134,0,0,1,14,4,0,29,3,94,0
1,329,0,99,1,1,1,0,0,0,38,2,122,1
0,748,1,310,1,1,3,15,4,1,87,2,91,0
1,0,1,0,0,1,2,8,2,1,41,2,114,0
0,1030,1,335,1,1,4,21,0,1,67,1,93,0
1,756,0,194,1,0,5,3,1,0,67,3,86,0
0,1195,0,0,0,0,4,47,0,0,85,3,85,1
0,969,0,139,1,1,4,30,1,0,86,3,94,0
0,701,0,33,1,0,3,11,1,0,65,3,94,1
0,1010,0,160,1,0,2,43,2,0,86,4,76,1
1,948,0,216,0,1,3,15,2,0,21,3,86,1
1,780,0,55,0,1,2,4,3,0,38,0,93,0
1,332,1,0,1,0,1,26,0,1,27,0,113,0
0,949,0,300,0,0,2,30,3,0,63,3,103,1
1,0,0,44,0,0,0,21,3,0,30,4,76,0
0,1149,1,242,1,0,2,29,4,0,74,4,82,0
1,846,0,276,0,0,1,67,3,1,48,4,70,1
0,944,0,302,1,0,2,37,0,0,69,3,105,0
1,626,0,64,1,0,2,31,3,0,52,2,116,0
0,802,1,144,1,0,1,19,1,0,41,2,88,0
1,885,0,286,1,0,0,28,3,0,62,2,111,0
1,0,0,51,1,0,2,0,2,0,12,3,85,0
1,840,0,196,0,0,1,0,4,0,52,2,88,0
1,500,0,300,1,1,2,27,2,0,96,2,121,0
1,635,0,157,0,0,1,17,3,0,30,1,100,1
0,398,0,81,1,0,0,8,1,0,64,2,91,0
1,427,0,108,1,1,1,25,2,1,87,0,99,0
1,710,0,61,1,1,4,21,2,0,58,0,107,0
0,702,0,83,1,0,1,16,4,0,54,2,95,1
1,869,0,23,0,0,0,5,3,0,15,4,104,0
1,171,0,163,1,0,0,14,2,0,47,3,89,1
0,15,0,37,0,0,0,0,2,1,30,3,97,0
0,1014,0,72,0,1,1,58,2,1,57,4,78,1
1,0,0,0,0,1,2,34,5,0,24,1,122,0
0,834,0,133,0,0,3,17,0,0,59,2,83,0
