is_muted,time_unmuted,is_speaking,speaking_duration,camera_on,hand_raised,hand_raise_count,message_length,hesitation_count,has_question,confidence_level,missing_assignments,grade_average,grade_trend,days_since_submission,late_submissions,struggle_label,_latent_p
1,110,0,0,0,0,0,0,0,0,13,1,50,90,3,3,1,0.9720686692055746
1,177,1,116,1,0,5,18,1,0,67,0,80,100,0,0,0,0.003969428989314635
0,368,0,0,0,1,1,0,0,0,41,2,52,90,6,3,0,0.16443113739889995
1,0,0,0,0,0,0,0,0,0,0,0,80,100,0,0,0,0.5092785986776275
1,0,0,14,0,0,0,0,0,0,14,4,72,102,0,2,1,0.4239118834725645
1,28,0,17,1,0,0,0,0,0,46,1,80,114,3,0,0,0.08995196992568842
1,280,1,123,0,1,1,22,2,0,37,1,80,95,2,0,0,0.08557942355533937
1,106,1,60,0,0,2,25,1,0,43,2,80,110,23,0,0,0.012574133089074496
0,406,0,180,1,1,3,0,0,0,100,5,80,85,3,7,0,0.5794598961283801
0,320,0,327,0,0,0,31,0,0,57,6,43,74,3,1,0,0.5061837984902977
0,40,0,62,0,0,0,0,0,0,13,2,70,99,5,1,0,0.25505594831074313
0,178,0,248,1,0,1,27,4,0,62,4,77,101,2,4,0,0.029106444958408934
0,27,0,0,1,0,3,0,0,0,70,4,80,123,1,6,0,0.0028310775460856532
1,64,0,0,0,0,0,11,3,0,0,0,80,100,0,0,1,0.5027854085927559
0,67,0,113,0,0,1,21,0,0,39,9,51,84,6,0,1,0.8792892109651517
0,130,0,7,1,0,0,25,1,1,49,6,67,98,3,2,0,0.07605083708452794
1,103,0,0,0,0,0,0,0,0,16,6,76,115,0,1,0,0.10176618930127122
1,95,0,55,1,0,0,0,0,0,40,1,75,112,0,0,0,0.009895424503149716
1,0,0,38,0,0,0,20,0,0,21,0,80,100,0,0,0,0.038313184565070074
0,94,0,16,1,1,1,21,0,1,60,0,80,100,0,0,0,0.006009207083855349
0,2,0,6,1,1,0,7,0,0,26,10,80,88,0,2,1,0.9631523771480622
0,191,0,20,1,0,0,21,2,1,55,0,46,83,0,0,1,0.3122722874566803
1,41,1,26,0,0,0,0,0,0,12,5,66,103,8,1,0,0.48050951543347104
0,188,0,9,1,0,0,18,2,0,42,1,88,122,0,0,0,0.0014262258779728753
1,99,0,65,0,1,1,0,0,0,67,4,56,96,9,1,1,0.311979158364318
0,508,0,186,1,1,0,25,0,0,78,1,71,109,1,1,0,0.07411802709672492
1,160,0,0,0,0,0,0,0,0,50,2,80,102,0,0,0,0.02357878592010339
0,225,0,153,0,1,2,0,0,0,73,3,50,70,6,2,0,0.47871108832675185
0,336,0,98,1,0,1,19,1,0,76,0,80,100,0,0,0,0.0005133091850171888
1,59,0,0,0,0,0,0,0,0,6,3,80,94,0,3,0,0.13465599431952052
0,24,0,14,1,1,1,21,1,1,46,0,65,103,4,1,0,0.010685821468659573
1,44,0,31,1,0,1,3,6,0,28,3,80,91,0,6,1,0.9395930130029422
0,116,0,0,0,0,0,0,0,0,34,2,61,95,0,1,0,0.2805776550762622
1,145,0,0,1,0,0,0,0,0,71,2,70,107,6,2,0,0.007940505061862575
1,168,0,0,0,1,1,0,0,0,22,0,80,100,0,0,0,0.008267886048756378
0,0,0,0,1,0,2,0,5,0,15,4,47,73,7,1,1,0.959728084830812
1,180,0,34,1,0,3,0,0,0,67,3,80,91,10,5,1,0.8002897249435094
0,142,0,15,1,1,2,22,1,0,45,3,49,86,11,1,1,0.8858630249404512
1,69,0,101,0,0,0,48,3,0,40,4,36,72,13,11,1,0.9947029889791517
1,97,0,75,0,0,0,3,2,0,14,2,48,86,0,0,1,0.8414710794915626
1,0,0,0,0,0,1,0,3,0,0,1,56,101,4,1,0,0.561863497870721
1,32,0,37,1,1,2,0,0,0,60,0,80,100,0,0,0,0.0282527986712766
0,272,1,59,1,1,0,21,0,0,47,1,80,108,3,2,0,0.043589640928477315
0,124,0,45,1,1,3,26,0,0,79,0,48,75,0,0,0,0.6716838091650487
1,156,0,39,0,0,0,25,0,1,40,7,56,86,2,4,1,0.5559002527574518
0,226,0,189,1,0,4,0,0,0,90,6,69,101,0,5,0,0.016740607276758888
1,183,0,161,1,0,1,13,1,1,81,0,80,100,0,0,0,0.06214840082438062
1,0,0,10,0,0,2,20,0,0,25,0,80,100,0,0,0,0.04726467962738942
1,0,0,8,1,1,1,0,0,0,39,0,64,106,0,3,0,0.06928917239045676
0,430,0,0,0,0,0,0,0,0,100,0,80,100,0,0,0,0.012320896438327667
0,93,0,0,0,0,0,0,0,0,24,0,80,100,0,0,0,0.012478538154139355
1,6,0,0,0,0,0,0,0,0,2,3,78,115,13,3,0,0.006889900587267974
1,54,0,216,0,1,3,12,0,0,48,0,80,100,0,0,0,0.06591098332041678
1,112,0,109,0,0,0,24,1,0,34,1,80,97,0,0,1,0.34907860235107757
0,96,0,0,1,0,6,0,0,0,73,2,68,103,0,1,0,0.14582308747289946
1,20,0,0,0,0,2,0,0,0,25,2,75,99,0,1,0,0.12205980339563767
0,103,0,32,0,0,0,3,0,0,12,3,37,69,0,4,1,0.9902388284808008
1,27,0,37,0,0,0,4,3,0,0,0,80,100,0,0,0,0.22332379136295633
1,220,0,0,1,0,2,0,0,0,89,7,41,79,0,4,1,0.8505180670123912
0,268,0,137,0,0,0,0,0,0,40,3,65,100,4,1,0,0.15996004170177408
0,13,0,67,0,1,0,20,0,0,41,0,80,112,0,0,0,0.002944002748034805
1,121,1,2,0,0,3,25,0,0,28,2,60,99,0,0,0,0.03643144121721785
1,30,1,101,0,0,2,14,3,0,40,0,80,100,0,0,0,0.1439636083869503
0,262,1,66,1,0,2,9,1,0,50,0,80,100,0,0,0,0.05433791075275066
1,116,0,0,1,0,0,10,1,0,29,2,56,101,0,3,0,0.3171504935639603
1,123,0,0,1,0,1,0,2,0,26,0,80,100,0,0,0,0.12775772932016635
0,318,1,146,1,0,2,33,1,0,86,5,60,97,0,0,0,0.025612652860932963
0,158,0,220,1,1,3,65,1,0,77,0,80,100,0,0,0,0.14316198932423183
0,94,0,0,0,0,0,0,0,0,47,4,79,102,0,0,0,0.10271281956865129
1,104,0,31,1,0,0,17,1,0,37,0,80,100,0,0,1,0.3061665464536066
1,34,0,0,1,0,0,0,0,0,49,0,80,100,0,0,0,0.4668648789520633
1,0,0,9,1,0,2,13,3,0,32,0,65,99,1,0,0,0.2210527658231801
1,192,0,228,1,0,2,29,0,0,80,1,86,118,0,4,0,0.007160897508708198
0,95,0,0,0,0,1,0,0,0,19,2,61,92,0,13,0,0.3536647774814867
0,229,0,105,1,0,1,9,2,1,59,1,78,110,0,1,0,0.014549006437636604
1,14,0,37,1,0,1,14,3,0,32,4,64,96,3,4,0,0.24304717505643222
1,0,1,31,0,0,1,8,5,1,9,0,85,115,5,4,0,0.0039642058167088205
1,39,0,0,1,0,3,0,0,0,72,0,78,120,15,0,0,0.006427647726586432
1,80,0,0,0,0,0,0,0,0,25,2,80,82,0,7,1,0.9251863155097747
0,6,0,21,0,1,1,25,1,1,39,2,75,108,0,3,0,0.01813225260796165
1,158,0,100,1,1,0,20,3,1,67,5,73,110,0,0,0,0.053229170748872935
0,317,0,9,0,0,0,30,0,1,38,2,73,104,3,1,0,0.05132332977119514
0,104,0,37,0,0,0,0,0,0,31,1,80,84,5,1,1,0.8153538339318942
1,20,0,0,1,0,4,0,0,0,68,0,80,100,0,0,0,0.08221591375019233
0,55,1,6,1,0,1,17,0,0,40,2,48,72,9,5,1,0.7946542859764191
0,312,0,315,1,1,1,41,1,0,76,3,94,130,3,1,0,0.00021009019502627802
1,0,0,55,0,0,0,0,0,0,33,5,80,81,4,3,1,0.9217681294992396
1,60,0,2,0,1,5,30,0,0,36,0,85,118,1,1,0,0.007089621422367946
0,312,0,109,0,0,0,22,4,0,36,5,60,95,0,5,0,0.4493058144393408
1,155,0,27,0,0,0,0,3,0,2,5,44,72,10,3,1,0.9756839041288078
0,68,0,6,1,0,1,12,0,0,35,0,80,100,0,0,0,0.02767078243571596
0,109,0,0,0,0,1,0,0,0,13,2,52,87,0,0,1,0.714349136844493
0,66,0,55,1,0,0,58,1,0,43,4,52,87,0,4,1,0.8349323200040822
1,0,0,99,0,0,1,41,1,0,47,0,80,100,0,0,0,0.3698326449553731
1,154,0,0,0,0,0,0,0,0,19,0,80,100,0,0,0,0.7038394803494336
1,22,0,0,0,0,0,0,0,0,1,1,51,81,12,2,1,0.7821026043106428
0,202,0,23,1,0,0,0,0,0,48,0,80,100,0,0,0,0.006902327010049655
0,221,0,103,1,0,1,10,1,0,72,0,80,100,0,0,0,0.00458390274746736
1,20,0,26,0,0,0,0,0,0,14,0,60,105,0,3,0,0.2930247182837864
0,150,0,79,0,0,2,0,0,0,58,0,80,100,0,0,0,0.017433764814806386
1,9,0,55,1,0,3,0,0,0,64,0,80,100,0,0,0,0.3999760100274219
1,0,0,61,0,0,0,18,0,0,20,5,93,112,0,3,0,0.016460968221296012
1,0,0,0,1,0,0,0,0,0,27,8,75,111,3,8,0,0.029165425706493688
1,367,0,0,1,1,0,0,0,0,70,0,80,100,0,0,0,0.1328169574591427
1,376,0,157,0,1,0,21,5,0,29,0,85,110,0,2,0,0.04155102065337302
1,79,1,0,0,0,2,10,0,1,29,9,58,96,10,6,1,0.8990696632281922
0,124,1,163,0,0,2,33,1,1,59,1,55,85,4,0,1,0.23371550395562377
0,691,1,82,1,0,2,30,0,0,73,5,55,94,4,2,1,0.12574466509127732
1,49,0,0,0,0,0,0,0,0,13,3,44,83,0,2,1,0.97684239312826
0,114,0,34,0,0,1,20,0,0,39,6,62,100,0,0,0,0.3073616255204258
0,67,0,0,1,0,3,0,0,0,87,1,74,110,0,2,0,0.03338177762128339
1,55,1,55,0,1,1,16,1,0,47,0,80,107,5,0,0,0.20578899839676867
0,92,0,13,0,0,0,0,0,0,14,1,96,123,2,0,0,0.0002933917877121772
0,154,0,0,1,0,1,0,0,0,65,1,80,92,3,0,0,0.27781411845151927
0,95,0,54,1,0,0,13,1,0,42,0,80,100,0,0,0,0.03331929542497852
1,201,1,228,1,1,0,28,1,0,68,0,80,100,0,0,0,0.16207822842913272
0,138,0,16,1,0,2,0,0,0,49,5,59,99,11,2,1,0.5252751307797047
1,0,0,6,0,0,0,7,1,1,12,0,80,100,0,0,0,0.27736211323019994
0,186,0,205,0,0,4,0,0,0,65,0,80,100,0,0,0,0.0019988030510694004
0,190,0,0,1,0,0,0,0,0,58,4,65,116,0,0,0,0.011177730597351495
1,232,0,23,1,0,0,0,0,0,59,0,80,100,0,0,0,0.0036449036932258197
0,54,1,26,1,1,6,0,0,0,62,1,80,112,9,2,0,0.0018903048990216728
1,108,0,56,0,0,0,0,4,0,15,0,80,100,0,0,0,0.18859573523585174
1,111,0,184,0,1,0,52,2,0,44,4,34,81,7,0,0,0.9567992683711883
1,294,1,172,0,1,1,16,0,0,52,2,79,112,6,0,0,0.007407352124881915
0,53,1,49,0,0,1,14,3,0,19,0,80,100,0,0,0,0.06063787112405146
0,245,0,36,1,1,0,8,2,0,36,0,80,100,0,0,1,0.07124844442155637
0,69,0,0,0,0,2,0,0,0,28,2,41,64,0,4,1,0.9939827179792835
1,90,0,3,0,1,0,7,2,0,4,2,80,105,3,1,0,0.05835394380972336
1,310,0,67,1,0,0,11,1,1,53,1,34,77,0,1,1,0.9151425685409793
1,209,0,154,0,0,2,29,3,0,46,1,80,88,9,3,1,0.813767688336207
1,21,0,50,0,0,0,0,0,0,23,0,94,117,0,0,0,0.015192147833466224
0,0,0,0,0,0,0,0,0,0,0,2,57,101,0,1,0,0.39966810719311047
1,40,0,67,0,0,0,45,4,0,24,0,49,73,10,5,1,0.9699702528156167
0,150,0,56,1,1,2,45,1,0,79,4,55,82,4,2,0,0.09035419801153322
1,213,1,70,1,1,1,35,2,0,79,2,80,102,0,0,0,0.05081853373810181
1,43,0,0,1,0,0,0,0,0,36,2,80,70,5,3,0,0.4705165117978851
1,123,0,0,1,0,1,0,0,0,69,0,80,100,0,0,0,0.41791819860547397
0,419,0,0,1,0,0,0,0,0,77,0,80,100,0,0,0,0.003541355872306072
0,67,1,22,1,0,0,0,0,0,61,2,42,79,0,4,1,0.9460521616103545
1,0,0,55,1,0,0,0,3,0,25,1,34,78,13,2,1,0.9940560631585004
0,136,0,0,1,0,1,0,0,0,39,0,80,100,0,0,0,0.017099921701212512
0,0,0,30,1,0,4,22,0,1,73,0,68,105,0,2,0,0.032082430769428655
0,241,0,0,0,0,0,0,0,0,49,0,34,72,16,4,1,0.9923136534727021
0,263,0,0,1,1,1,0,0,0,89,1,53,87,0,0,1,0.7975802134946732
1,0,1,13,0,1,1,48,1,1,31,2,42,67,0,2,1,0.7489915294881778
1,143,0,43,1,0,0,24,0,1,67,2,69,114,0,0,0,0.3453428533434055
1,206,0,106,1,1,1,0,0,0,89,3,85,117,0,3,0,0.03738227772460198
1,58,0,0,0,0,0,0,0,0,15,0,80,100,0,0,0,0.36095200722934484
0,346,0,147,0,0,1,33,0,0,65,3,68,102,0,0,0,0.022411362070021694
0,112,1,56,1,1,2,32,1,0,86,1,52,80,1,1,0,0.018311892774371646
0,104,0,7,0,0,0,37,1,1,41,6,59,90,0,1,1,0.7279961369636644
1,158,1,114,0,0,1,12,0,0,40,0,80,107,2,0,0,0.013680130827192435
0,150,0,149,0,0,2,16,0,0,57,4,75,103,0,1,0,0.004336361739640539
1,403,0,0,0,0,0,0,0,0,28,3,41,86,0,3,1,0.9109749507743613
1,23,0,4,0,0,0,0,0,0,4,2,80,114,4,2,0,0.39727329444865467
0,243,0,44,1,0,4,0,0,0,66,0,80,100,0,0,0,0.014923292447901169
0,273,0,0,0,0,0,0,0,0,69,0,40,76,7,2,1,0.7657278054945716
1,5,0,6,1,0,0,14,0,1,38,0,80,112,0,0,0,0.10570414930433115
0,210,0,82,1,1,0,18,0,0,65,0,80,100,0,0,0,0.005006049798124801
0,33,0,84,1,1,1,16,3,0,49,5,80,106,0,3,1,0.38148884443598363
1,214,1,37,1,0,0,11,2,0,34,0,80,100,0,0,0,0.039701014061727685
0,96,1,39,1,1,6,19,0,1,62,4,80,108,0,0,0,0.03289785063250044
0,188,1,282,1,0,0,27,0,1,81,3,43,73,0,3,1,0.8677365237831032
0,163,0,0,1,0,2,0,0,0,96,0,80,100,0,0,0,0.10998302776306972
1,0,0,44,0,1,0,0,0,0,11,2,74,100,0,7,0,0.22430567919515737
0,342,1,113,1,0,0,0,0,0,74,0,73,100,34,1,0,0.09113665483928451
1,0,0,11,1,0,0,0,0,0,29,4,81,110,0,3,0,0.13426291766722487
1,0,0,11,1,0,0,22,3,0,31,0,80,100,0,0,0,0.011377103350115941
1,187,0,0,0,0,2,0,0,0,45,2,64,100,2,1,0,0.014642617878104804
1,0,0,36,0,0,0,2,6,0,0,4,46,83,0,2,1,0.962051499000748
1,11,0,31,1,0,0,0,6,0,21,2,80,116,0,1,0,0.0954175137719375
0,218,0,95,1,0,1,23,0,1,92,0,80,100,0,0,0,0.003012785638968707
0,245,1,258,0,0,0,0,0,0,49,2,80,124,0,0,0,0.0015980197934053826
